address,formatted_address,latitude,longitude,status,types
"MISSION ST AND NAGLEE AVE, San Francisco, CA","Mission St & Naglee Ave, San Francisco, CA 94112, USA",37.7116056,-122.446115,OK,['intersection']
"MISSION ST AND ADMIRAL AVE, San Francisco, CA","Mission St & Admiral Ave, San Francisco, CA 94112, USA",37.729883,-122.4302422,OK,['intersection']
"MISSION ST AND RICHLAND AVE, San Francisco, CA","Mission St & Richland Ave, San Francisco, CA 94110, USA",37.7360862,-122.4244732,OK,['intersection']
"MISSION ST AND LOWELL ST, San Francisco, CA","Mission St & Lowell St, San Francisco, CA 94112, USA",37.7114504,-122.4464132,OK,['intersection']
"MISSION ST AND SAN JUAN AVE, San Francisco, CA","Mission St & San Juan Ave, San Francisco, CA 94112, USA",37.7240279,-122.4353296,OK,['intersection']
"MISSION ST AND 14TH ST, San Francisco, CA","Mission St & 14th St, San Francisco, CA 94103, USA",37.7682842,-122.4200074,OK,['intersection']
"MISSION ST AND CONCORD ST, San Francisco, CA","Mission St & Concord St, San Francisco, CA 94112, USA",37.7139529,-122.4433752,OK,['intersection']
"MISSION ST AND HIGHLAND AVE, San Francisco, CA","Mission St & Highland Ave, San Francisco, CA 94110, USA",37.7373612,-122.4240484,OK,['intersection']
"MISSION ST AND 10TH ST, San Francisco, CA","Mission St & 10th St, San Francisco, CA 94103, USA",37.7752838,-122.4159371,OK,['intersection']
"MISSION ST AND LAWRENCE AVE, San Francisco, CA","Mission St & Lawrence Ave, San Francisco, CA 94112, USA",37.7094211,-122.450913,OK,['intersection']
"MISSION ST AND AMAZON AVE, San Francisco, CA","Mission St & Amazon Ave, San Francisco, CA 94112, USA",37.7172741,-122.4404528,OK,['intersection']
"MISSION ST AND ECKER ST, San Francisco, CA","Mission St & Ecker St, San Francisco, CA 94105, USA",37.789179,-122.3983379,OK,['intersection']
"MISSION ST AND SHAW ALY, San Francisco, CA","Mission St & Shaw Alley, San Francisco, CA 94105, USA",37.7889865,-122.3985861,OK,['intersection']
"MISSION ST AND AVALON AVE, San Francisco, CA","Mission St & Avalon Ave, San Francisco, CA 94112, USA",37.727656,-122.4324727,OK,['intersection']
"MISSION ST AND FRANCIS ST, San Francisco, CA","Mission St & Francis St, San Francisco, CA 94112, USA",37.7265972,-122.4333851,OK,['intersection']
"MISSION ST AND LAFAYETTE ST, San Francisco, CA","Mission St & Lafayette St, San Francisco, CA 94103, USA",37.7734886,-122.4180521,OK,['intersection']
